,Internacoes_HW_forecast,obitos_HW_forecast,obitos_HW_forecast
2019-08,1012745.4237565787,45615.41979604581,31477.807332597225
2019-09,1011062.7509771386,43840.94568789571,31393.819754724696
2019-10,1020622.1671677176,42575.54837674723,31547.51557117202
2019-11,1012745.4237565787,41310.2279688171,31529.986686771652
2019-12,1011062.7509771386,40168.98457046897,31113.708375379527
2020-01,1020622.1671677176,40761.15162154694,31135.26925406738
